rank,player_name,age,standard_position,team,league,minutes,total_score,core_performance,behavior_score,age_score,reliability_score,league_score,risk_penalty,data_completeness,market_value,height
1,Rabby Nzingoula,18.0,DM,Montpellier,Ligue 1,1689,78.08820488721805,63.45394736842106,100.0,80.0,88.89285714285714,92.0,0.0,1.0,2000000.0,183.0
2,Carlos Baleba,20.0,DM,Brighton,Premier League,2661,77.83388157894737,68.51973684210526,100.0,66.66666666666666,100.0,100.0,-3.0,1.0,55000000.0,179.0
3,Nathaniel Brown,21.0,DM,Eint Frankfurt,Bundesliga,1947,76.5703477443609,63.45394736842105,100.0,60.0,98.10714285714286,93.0,0.0,1.0,40000000.0,176.0
4,Dario Essugo,19.0,DM,Las Palmas,La Liga,1938,75.53227384405898,63.91447368421053,98.01935695538059,73.33333333333334,97.78571428571428,94.0,-3.0,1.0,15000000.0,178.0
5,Yehor Yarmoliuk,20.0,DM,Brentford,Premier League,1450,75.06015037593986,62.23684210526316,100.0,66.66666666666666,80.35714285714286,100.0,0.0,1.0,,
6,Amadou Koné,19.0,DM,Reims,Ligue 1,1293,74.6016447368421,69.30921052631578,100.0,73.33333333333334,74.75,92.0,-3.0,1.0,7000000.0,178.0
7,Valentin Atangana Edoa,18.0,DM,Reims,Ligue 1,2854,74.09967105263158,50.88815789473684,100.0,80.0,100.0,92.0,0.0,1.0,,
8,Soungoutou Magassa,20.0,DM,Monaco,Ligue 1,1025,73.82852887632467,73.0592105263158,99.83398950131233,66.66666666666666,65.17857142857143,92.0,-3.0,1.0,17000000.0,190.0
9,Lesley Ugochukwu,20.0,DM,Southampton,Premier League,1655,73.77514097744361,56.94078947368421,100.0,66.66666666666666,87.67857142857143,100.0,0.0,1.0,22000000.0,190.0
10,Ngal'Ayel Mukau,19.0,DM,Lille,Ligue 1,1190,73.26038533834587,60.88815789473685,100.0,73.33333333333334,71.07142857142857,92.0,0.0,1.0,15000000.0,186.0
